Name;Leonardo;Gold;Uranium;Asml;Siemens;ENAV;Euronext;Gerdau;Novo Nordisk;Nutrien;Philip Morris;Caterpillar;Coca cola HBC;Iqvia;Mercado libre;Miniso Group;PT adaro andalan;Unitedhealth group;Vitec;Airbus;Cameco;Dollar General;Futu holdings;Imperial brands;Shenghe;XIAOMI;Adyen;Nu holdings;tata consumer;Bund 0% Fb32;Venture Global LNG 7.75% 2035;Spain 3.45% Oc34;Btp 0.45% Fb29;OAT 1.25% MAY36 EUR;ROMANIA 2.875% MZ29;BTP 2.95% ST38
28.11.2025;46,91;3648,4433;39,05;903,4;228,3;4,576;132,3;3,08;42,56;50,17994;135,82;496,56;43,24;198,37;1786,79;4,305;0,388;284,41;28,591;204,45;76,33;94,43;146,32;36,62;2,529;4,544;1340,6;15;11,32;86,460765;96,36;103,0225;94,138;80,6505;93,24;98,1445
26.11.2025;45,57;3591,5042;38,63;897,2;228,1;4,552;131,3;3,09;42,01;49,48313;134,97;494,85;43,21;199,93;1753,77;4,229;0,385;284,38;28,08;204,85;76,6;93,82;146,28;37,42;2,474;4,447;1340,2;14,88;11,47;86,456;96,184;103,1425;94,159;80,743;93,375;98,055
25.11.2025;45,39;3569,8418;37,95;909,3;227;4,558;130,7;3,01;40,68;49,12415;136,06;489,77;43,27;200,47;1776,3;4,131;0,403;282,03;27,929;201,75;75,5;90,16;145,47;36,62;2,496;4,485;1326;14,36;11,42;86,32946;96,466;103,0385;94,159;80,7265;93,2395;98,048
24.11.2025;44,97;3593,0469;37,58;860,3;223;4,582;129,7;2,99;39,04;48,83736;131,13;485,76;41,97;198,07;1743,85;4,163;0,4;276,95;27,759;200,05;72,34;88,27;148,89;35,92;2,479;4,313;1317;13,82;11,55;86,37656;96,934;102,7925;94,0874;80,35;92,891;98,1095
21.11.2025;46,04;3531,7435;36,13;858,8;219,15;4,574;128,8;2,97;41,38;48,73808;134,86;478,18;41,7;195,38;1695,58;4,378;0,403;277,97;27,524;202,75;69,01;88,35;140,32;36,67;2,457;4,251;1301;13,8;11,47;86,242;96,955;102,685;94,0874;80,2235;92,6725;98,1285
20.11.2025;49,1;3536,9047;36,53;834;221,1;4,59;125,6;3,01;41,29;47,77068;135,03;473,78;40,57;188,35;1648,09;4,487;0,397;270,27;27,501;204,4;71,12;87;133,42;36,96;2,586;4,202;1311;13,29;11,48;86,242;97,094;102,5735;94,06015;80,1495;92,5975;98,122
19.11.2025;47,72;3537,3266;39,13;889,8;218,6;4,532;126,3;3,01;42,48;48,54369;134,89;479,46;40,29;188,52;1800,61;4,578;0,401;267,94;27,466;203,25;74,76;86,38;143,81;36,66;2,57;4,32;1324;13,57;11,39;86,279;96,907;102,712;94,06015;80,3375;92,8445;98,1885
18.11.2025;50,16;3512,9113;37,77;886,6;218,15;4,568;127,6;3,03;41,07;49,48627;134,6;472,3;40,59;187,65;1778,06;4,549;0,406;270,82;27,42;204,15;71,94;89,24;144,87;36,65;2,547;4,524;1316,2;13,23;11,26;86,238;96,578;102,655;94,0243;80,3505;92,7375;98,097
17.11.2025;51,08;3489,4305;37,72;865,6;223;4,546;126;3,03;41,81;49,1764;131,8;476,32;41,18;186,47;1775,43;4,63;0,413;276,55;28,042;207,3;71,64;89;145,44;35,79;2,575;4,657;1369;13,46;11,48;86,238;96,519;102,678;93,978114;80,342;92,9045;98,066
14.11.2025;50,46;3510,5422;38,51;876,4;230,35;4,5;126,7;3,05;41,53;51,13791;133,76;476,79;40,98;189,85;1763,24;4,639;0,452;276,99;29,116;206,5;72,94;89,76;142,66;35,71;2,558;4,69;1408,4;13,61;11,24;86,196;96,351;102,5995;93,978621;80,4;92,7605;98,0325
